Content,Content_Length,product_related
"This is Greg. Just commenting further on Jeff's question. We have inventory. We have talked about that being depending on what you're making 15 to 20 cents on the dollar in terms of absorption. So 30 million was the actual inventory roughly that order times 15 is 4.5 million, and then we talked about as a positive if you want to think about it that way -- it's obviously some smoothing with the first quarter. And then with respect to metals, we had roughly 60 million pounds at 10 cents, which is $6 million a headwind. That 60 million would be roughly what the metal that's priced to market in the quarter. So that's 6 million on the negative, plus the Sarbanes-Oxley of 2.8 million, so we are about 88 of headwind and 4 or 5 million of tailwind. If you try to get it that way I'm doing this without precision but trying to give you an order of magnitude, Jeff. Is there any other questions?",167,Yes
"Yes, Marty. I would plan one thing as it relates to '04 -- the impact that the metals had on the working capital. We sold between 35 and 40 million pounds of metal a month, (indiscernible) year-over-year we saw close to a 50 cent per pound rise in the copper. So if you look at the build that we had in the net or in the gross debt for the full year, it's pretty much attributable to the rise in copper and the impact that had on our working capital -- obviously our inventories get inflated, outwork receivables get inflated; and we get some help on the payable side. But looking forward to next year, assuming roughly the same level of earnings -- because we haven't given guidance I would point you there to start. We think we could probably take -- again, assuming the copper space relatively flat where it is now, so we're not getting either inflation or deflationary effect from the copper. That we're probably looking at taking out 20 to $25 billion worth of debt for '05. And that assumes we get some out of the inventory.",191,Yes
"It seems to be pretty much the same but it's too early to say whether there will be -- we think that it will be relatively stable as opposed to continuing to push off. We saw that a bit in the last two quarters. As Jim said, end of the year purchasing is always a bit of an unknown, and it relates to budget dollars that are still available, etcetera.",70,No
"Pat, a couple of things. One is the Sarbanes effort is -- for all companies is a massive undertaking. We like many companies, we have had to use outside contractors, and we are now stepping up some of that internally because it is an ongoing process. I would guess that we should be able to year-over-year reduce this by -- I'm targeting by half. Again, this is a moving target. I think between both the work that has been done and then the work that we will do, we will reduce this, because it is a very meaningful cost. And I guess the other thing is we try to apply our lean techniques around how do you get better and better at this and do it more and more efficiently as well as take the good lessons out of it with respect to best process. So we will turn it into much like we do with any manufacturing or process issue, we will just keep getting better at it and drive it down, and we'll also look at it as an opportunity rather than in a sense a negative on the enterprise. I think we can take lessons out of it and continue to improve what we do. I think maybe drop it by half, perhaps, Pat; maybe not quite that much but close to it, and that should help us in '05.",233,No
"Well no, but you see, it does. It does. And Wendy can give you the details. We did not accrue but did not forgive (ph) rent for '02, '03 from CLC. Remember we kept saying, ""We know we will get that at some point."" We just can't prove it because we know what the shares are worth and, also, it includes interest for that. So it does include. That is why it is different. I mean, let me try to normalize that although, God, it is a dangerous exercise to try to normalize. And one always regrets any time one does that but I will do it anyway, being that I never learn.
 Excluding that, I would say, we would be in $1.61 to $1.65 range, plus or minus. Which is not very different. I think you're saying $1.64, Jerry, I mean it is somewhere as I said $1.61 to $1.65 depending on how good Clint is here and we are looking at him and he is smiling. So he probably will do well.
 But that is what it is.",180,No
"Yes, yes, I mean the factory is full. I have to tell you, Clint here is working very diligently and he is very busy. And that is very good. We are out there. We have begun visiting customers. Now people are getting to realize that LTC is open for business. We are getting our old customers to begin calling us on deals. We find the competition to be more in our niche of the market. The small transactions. From the floating rates, short-term lenders like cap source and others, Red Capital (ph) and others.
 But, effectively, we are still able to do business. We are very optimistic about the future.",110,Yes
"It's been a long, it's been a long 4 years and let me tell you we -- I remember spending last year Memorial Day weekend, I was working so was Wendy and she and I were working on Labor Day weekend, trying to do another deal involved with us. Finally we worked between Christmas and New Year and this time, it happened. Three is the charm, they say and so it is.",72,No
"Something like that. And that will fluctuate, of course, depending on how we do the rest of the year. So please don't hold us to that. The range we are trying to hit and the range we will be decide the dividend on is the non-recurring part, excluding these holdings.
 Having said that I want to take credit for those -- not I -- we want to take credit for those things because we took the blame when they weren't getting the rent. They kept saying, ""Well you're not getting any rent."" And we kept saying, ""You're right. We are not getting that. We hope to get it (indiscernible)."" We got it and in a sense we feel vindicated. I must say that.",123,No
"No. I think we will wait until year-end because if you recall we raised it the third quarter last year. Raised it to 30 cents in the third quarter, I believe. So the earliest we would want to review that is against the third quarter and we will stay with that 75 percent plus or minus (indiscernible) 75 percent payout.
 Again the Board may change our mind. But for the moment we, here in the management group, believe this low payout is a good idea. It gives us additional growth. It gives us cash, it helps us continue the deleveraging although I think we have gotten probably as far as they should deleveraging. Wendy was making fun of me the other day, she says, ""You don't have any more debt to restructure! What are you going to restructure with?""
 I was laughing. I said, ""Maybe we don't want any debt for a little bit so we don't have anything to restructure."" But absent something, if all of it doesn't, instead of my expectations of 10, 10, 10 we were flooded with deals maybe we looked at it earlier. But right now, I don't know. Wendy, what's your --?",198,No
"Not really. It was pretty diverse, Wilson, on the commercial side and it was spread very evenly between our construction lines and our real estate lines and then really we had a nice increase in our C&amp;I prices and that represents I think about $46 to $47 million in that growth.",51,Yes
"I think that 1.9 was about maybe $650,000 over prior-year period. So, we've seen a nice increase. I think the new business goal for the year was about 85% of that already through the first six months and probably 60% of that business is bank referred business over to the agency. We are just real pleased. We know our whole process is working. And another thing, in that industry, one of the key indicators is what they call the 'close the book,' and I think in the last couple of months we've had right around the 60% number, where the industry as you know, averages remain in the 35, high 30%. So, roughly we get a high level of referral (indiscernible).",121,Yes
"We have our asset person sitting here, and I would say, there hasn't been much change from prior quarters on our asset sensitivity. We've still an awful lot of those new commercial loans coming in are still prime based and LIBOR based adding on to the balances, and the Green Plan has helped that asset sensitivity somewhat, but at this point, we're still within policy, but still slightly asset sensitive.",70,No
"Yes, there were a couple of questions that were e-mailed to me that I would maybe just take a minute to go over most of it. We have covered most of it. The first question was the increase in our linked quarter non-interest income, where you talked about the NSF fees, we talked about the increase in wealth management, insurance somewhat flat and also the mortgage banking on a linked quarter basis, but also included in there, again we had to gain on the (indiscernible), the commercial loan swaps and we are seeing some very nice steady increases in our debit and credit card transaction income on a linked quarter basis year-to-year. And the other question I had was what about the increase in non-interest expense on our linked quarter, which is about $600,000. If you recall, during the first quarter this year, we had several charges related to facilities where we had implemented some new leasehold depreciations, we had abandoned the building, and wrote off some equipment. We had donated another one, and that accounts for the biggest piece of that -- this increase. And we already answered the question about where we thought the loan loss reserve is going to end up.",204,Yes
"Yes, Wilson. I was looking at that. Somebody else had e-mailed me some questions. But the first quarter was exceptionally strong. Also included in those numbers were some revenue sources from our credit, our title insurance both on the retail and the commercial side that we weren't able to repeat this year. But we are not entirely optimistic on that line of business.",63,Yes
"We are finding them and it is working. See, we bring a couple of things to the table that we have very little competition for. One is we have a national footprint for our services department. Very few people have that. The - - in the entire Nortel community, there's maybe only one or two companies could make that same claim. That they have a coast-to-coast, company employees. And were leveraging that and people are finding that - - customers find that makes life a lot easier to them when they have a national project that they need. For instance, Greg alluded to three new large customers that we added, one of which was a large oil company. And what they wanted us to do was go to all their gas stations, which, I don't know how many states there were, but a lot of them. And do some wiring work and some stuff on their IT equipment at each gas station. Well - -",165,Yes
"In the past what they had to do was regionalize that. The poor guy that worked for this oil company, his job was to look in his rolodex and find out who does this kind of stuff in Texas. And you'd call that guy. And then who does it in Kansas. And who does it in California. And he'd have 15 or 20 contractors out there. Well, each of those contractors would vary as far as the performance and the quality of work and billing and all those issues and his life was miserable. This was a big project for him. Well, when he works with XETA, we sat down with him. What do you want done? How do you want the billing? It all went so slick, that he just can't believe it. So, that is the kind of thing that we do. And we are way beyond break and fix, too. You have got to think of us - - we're - - this term ""managed services"". We are pretty much involved with practically anything that these people need done insofar as their IT equipment is concerned. I am not saying we will take on anything. But we will take an to broad range of things. And that makes us a very useful tool to people like this large oil company that I was describing.",227,Yes
"As you know, Jeff, with our installation of RFID in Decathlon in France, we utilized our Wirama technology in the antennas.
 As I mentioned with the North American retailer that we are not disclosing at this point, we are changing out all of their antennas chain-wide so that they are in a position to utilize the RFID technology -- Wirama technology at the point of exit as they expand their RFID program with us.
 And then thirdly, the Asian EAS swap out, clearly a big piece of that was wrapped around positioning for the transition to RFID as EAS and using RFID. And I'm hopeful that we will also be able to install the Wirama technology.",116,Yes
"Hey, Jeff, it's Jim. Most of our EAS antenna production -- basically all of our EAS antenna production -- is in China. And the exchange rate difference you will see in our supplement presentation of China versus the US dollar has not been nearly as significant as many of the other countries that we sell into.",56,Yes
"Yes, I think -- two things. One is, as we've talked before, this has been fits and starts in this evolution of MV and the whole RFID initiative. And whether it was 2008 and pulling back on capital by the retailers or it was the Round Rock patent litigation, there always seemed to be something getting in the way. Of course, it started with the cost been very high.
 Now the cost has come down; it's very affordable. The ROI is there. Online e-commerce is a real threat to retailers. It's expanded tremendously, where a greater portion of sales are coming from online. And then the other apparel retailers are adopting RFID and their competitors see it. And they know that they need to start the process, because it does take time. So I think all of these things coming together are influencing the pace at which we will see the adoption going forward.",154,Yes
"(interpreted) Well, just remember the figures for the first half, EUR250 million minus EUR250 million for the full year. So there's a second half that's more favorable, as I showed on sales. But it's also true for profits. If you look by quarter, we should be at minus EUR40 million Q3, and up EUR10 million in Q4. So we had a positive upside in currency in Q4. But it's dampened by two key factors.
 Firstly, all currencies didn't perform well. The yen slid. The euro-- no need to recall what happened. Second thing that's always fundamental to understand the ForEx impact, when currencies rise, there's no currency appreciation. It doesn't mean we have losses. We had considerable increases. We had good hedges [that had won] a lot of money.
 So full year, our hedges generated the same profit as last year than in 2013, but far more in the first half than in the second half. So there's an imbalance over the year. But all in all, we have a normal trend on the currency impact across the year.
 As to giving you directions to model it, I mean it's difficult enough for us. It's not easy. I'm delighted to see that a brilliant analyst doesn't understand any better than I do, currency fluctuations.",214,No
"(interpreted) The end of the year was good for Louis Vuitton, mostly thanks to the new launches. But also because of the significant growth in the American market. And we certainly intend to continue innovating and launching new products, month on month at Louis Vuitton. And we're very confident. I mean at the beginning, at the first weeks of the year have started extremely well.
 Don't derive from this that we will enjoy huge growth levels. That's not the purpose. I mean the main concept for us is to make our customers happy, to increase, as I said, desirability. But if it means that people have to wait a bit longer to get their new leather goods or whatnot, well they'll have to wait that much longer, even if it means less revenue right now.
 But I mean, because of the size of the market, if we launch a new product, you distribute it around the world. We don't always have the distribution and production capacity to meet demand, especially as customers are particularly keen to buy new products. But that strategy, we will certainly continue. It's always more fun to look at new products than existing products.",198,Yes
"Why not? But we don't see right now any brand to divest. What we have in the plan is something different. For instance, for a brand like Marc Jacobs, we said that we are aiming to do an IPO with it. Because it's a brand in which we are going to be relatively different niche of the market, more competitive to some other brands, like if you know Michael Kors, which is not exactly-- it's more a competitor with price points that are lower and coming from the US. And for that brand we are managing it differently. We're managing it with a US team that is really motivated by the growth and the potential IPO, just to give an example.
 If you take what is the market cap now of Michael Kors, I don't know. But it's above 10 billion. If the team succeeds in doing that, maybe at that time we can do another very good dividend for our shareholders, maybe. But success is never a guarantee.",169,Yes
"I think we have to aim for a good equilibrium. We are looking to grow, but as I said, it's not the main object. The main objective is really to stay at the top of desirability, and two profitability and return is also an objective. And we see with this opportunity of Marc Jacobs, a way to maybe do it again in a few years, maybe. But it's an equilibrium.
 And we have other ideas of the same kind. But it's early to discuss. So maybe the last question?",89,No
"(interpreted) Now about provisions, I expected the question, and I tried to get an answer. But we have as many as 60 brands. And it's pretty difficult to know. I mean we have a bit more than 50, but it's less than 100. But we have some reversals of provisions in 2013 not repeated in 2014, some reversals in 2014. It's not complicated, but you have a lengthy list. And it's pretty difficult to have-- but we have about between EUR50 million and EUR100 million all in all in provisions above EBIT.",92,No
"As you can see from slide 14, in cost of labor we had an increase of EUR46 million, which is, I would say, almost explained by the extraordinary items, or the non-recurring items that we have described to you in slide number 6.
 As Marco explained well to you before, and particularly on the change of the salary increase, the salary increase occurred last year in April 2014, which means that from April 2015 we will compare every month with a number which implies the similar contract, and will be homogeneous; which means that the discontinued will be limited just to the first three months.
 Excluding these one-off items, I would say that the cost of labor is expected to be stable, or with a slight increase, but very, very slight; something in the region of 1%, 2%, maybe 1% increase, so nothing significant.",144,No
"Yes, thanks. On the volume-driven cost, as you can see from slide 15, in general, the principle is that the ratio between the revenues and the volume-driven cost is stable. And this is also the case in the first quarter results.
 There are two exceptions, which, of course, has an immediate counter-effect on our revenues, which means the equipment cost, where we have an increase, and you can see in the revenues a similar increase. And also, in the connection cost, particularly in the one related to the international wholesale of Sparkle, we have an increase of these costs, which has, as I said, an immediate reference in the revenues of Sparkle.
 Excluding these two exceptions, which are, of course, perfectly explained by the evolution of revenues, the ratio is stable.",131,No
"I answer the first, and Stefano De Angelis answers the second. Most of the Company knows that I tended to be the chief testing officer, because I tended to use all the services we sell, which is not the best experience for most of my colleagues, but if you don't do so you never know what's happening in real life.
 For the time being, the true answer is, no, on the process. We don't see major, major falls, to be honest, neither minor falls, but it's really very, very early.
 We are very -- we were very optimistic on the possibility to sell Sky on most of our copper lines. And I'm very curious to see, in a couple of months, if my expectation will be confirmed. Because, ultimately, if you consider the real bandwidth need, in order to have a superb HD experience, is something between 7 mega and 8 mega real, if you consider that 65% of our customer base is reached with a nominal 20 mega, now that decrease the nominal 20 mega as down as you want.
 But I think we should be able to offer not only on the fiber, of course, I'm much more happy if the customer buys the fiber and Sky, but in case the area is not reached with fiber, I think that it's not a major limitation, should not be a major limitation for us.
 And then, I leave Stefano to Stefano.",242,Yes
"I'm taking the answer for Giovanni. I don't change my mind. I think that in the capital structure, saving shares are a little bit [aged] as an instrument. It's not a high priority, because the level of inefficiency that it determines on dividend is not that high.
 But, as I told you, if I imagined the Company some time in the future I think that this heavy quantity of saving shares probably is not that actual as it was some years ago when this structure was created. So the real question is not what we think; the real question is when the market conditions it will be appropriate, and market conditions include several aspects. So, I don't change my mind.
 Thank you, Giovanni.",123,No
"Okay, yes, the total domestic revenues, the trend of the total domestic revenues in the fixed is mostly due in this quarter to two effects. One is the re-pricing of the monthly fee, which is positive on consumer, of course.
 But we have to be a bit careful because the trend is very positive on the consumer. The consumer, if we split the fixed revenues between consumer and business, consumer made a sharp increase, up to less than minus 2%; and the business service remained more or less in the minus 6% territory.
 So what we see is that this component coming from the consumer will continue to be maintained. And we assume, for the coming quarters, a recovery also on the business for a long list of actions that we are taking.
 Keep in mind that there is also a wholesale effect, a wholesale effect that is driven mostly by prices. It's EUR9 million that is the quarter effect of the prices on Q1, that goes also down with your margins.
 So I think that if you wanted to give a fixed breakdown, we have in the annexes a full detail of the fixed breakdown that can be extremely helpful in spreading these analyses.
 And Piergiorgio will answer the second part of your question.",215,No
"Well, partly the FOG business was really soft in Q1, and we were still optimistic we could make that back in the back half of the year. We saw a pretty good recovery this quarter sequentially and year-over-year, but it's still a little below where we had expected to be at this point. So we've trimmed the estimates of the FOG business, and that's really the only change in the guidance (inaudible) in terms of our guidance.",77,Yes
"Yes. We did have good growth in the hardware year-over-year, so we are in that low double-digit growth rate for hardware this quarter compared to a year ago. So it is accelerating. It's just that at this point, we don't see the oil and gas recovering. For a while there, our customers tell us it has to be sort of in the $60 to $70 range before that business, the offshore business, recovers. And it looked for a little while like it was moving in that direction, but now it looks like it's going the other way.
 So we're just assuming we won't see any improvement in that part of the business. But I think we are encouraged that we are still able to get net ads and growth rate that's ahead of where we were a year ago, despite what's going on in this one sector. So we are pretty well diversified. So I don't want to give the impression that we are totally focused in oil and gas. Right now, probably 100% or 90% of our growth is in other sectors.",183,Yes
"No. What Peter is talking about is our back-office billing system, which is integrated into the financial system. I think what you're talking about is sort of a pay-per-view or an onboard where the crew pays. And that's done -- a lot of these crew don't actually have credit cards. So the way we handle that is through prepaid cards that we sell to the vessel master.
 So we sell the cards, so it doesn't involve credit cards by the crew onboard. So it's part of our crew link and it's part of a crew calling system that enables them to access the Internet and make phone calls, but it doesn't allow them to purchase content.",116,Yes
"No, we don't have a specific growth rate. We haven't given specific guidance for the airtime revenue growth, but I think that you are right in saying that the current growth rate is less than we had going into the year. And I think we've mentioned a couple times the reason for that is primarily the variable component of metered plans and dayrate business which is used in the oil and gas. And that's really the area, the only area where we've seen any softness.",85,No
"I think almost all the customers are looking at content now. So it's really an important part of the product offering. I think we are seeing that also in the deal we did with Inmarsat where they want to have access to our content like our training product and our news link service. So it's just -- we've really changed the whole basis for competition, and I think now everybody is looking at content services and training as part of the total solution. So they may not all have budgets for it in the current year, but I would say we aren't talking to anybody who says, oh, I'm not interested in that because we don't need it.",118,Yes
"Your question about the level of overall investment in '21 versus '20 and are we able to sustain that. The answer is yes. So we're reinvesting incremental investment in '21 at a very similar level to what we had in '20. And the way that we're able to do that
 (technical difficulty)
 and pulled forward the business optimization and just...",60,Yes
"Yes. Sure, Mark, and thanks for the question. The -- if I refer, as I mentioned, is this being the third wave. We expect this third wave to be a lot like the second wave in the summer. However, it's going to be much more widespread geographically. And that opens up more hospital capacity as a result. We do believe that the -- from what we're hearing from our customers that they feel confident, that they can manage what is anticipated in terms of hospitalizations, their treatment protocols, their ability to segregate patients, their ability to -- the patient profile themselves is a very different patient than the first wave, and it's much more geographically dispersed.
 So I think in the U.S., yes, it's going to provide some tension, but manageable is the current feeling. In Europe, with the spikes that are going on and the surge going on in Europe, the level of ICU capacity in particular and treatment capacity in certain regions of Europe, we are starting to see pressure building. And as a result, some higher level of interest and demand in some of our product offerings as a result. That goes across from ICU offering to our vital signs business to thermometry.
 So we're starting to see some of that in Europe today. But it does seem -- it's -- again, it does seem much more well-managed and not panic-oriented, but we are starting to see some incremental demand in those areas.",246,Yes
"Yes. We have not seen any deliveries yet. Obviously, there's some commentary out there of a pending launch, but we have not seen any deliveries occur at this point in time. So we expect that will happen in the next couple of months, but we've not seen anything material in the marketplace today.",53,Yes
"Yes. I would say, Matt, the COVID benefit of $180 million, you see this quarterly breakdown in that one schedule that I pointed to earlier. 80% of it is beds and half of it, half of the total, was international, the other half was in the U.S. So those are probably 2 good kind of ways to think about that $180 million. 80% beds, 20% ventilators and then 50-50 in total in aggregate between U.S. and international. So that's -- I hope that answers your question. Did you have a follow-on to that?",93,Yes
"Yes, sure. So as I mentioned earlier, emerging markets, we expect double-digit growth. China, we expect very high double-digit growth. Our investments are really starting to come through there. And because of the breakdown I just gave you earlier, that $180 million being roughly half of that being internationally, that was mostly in Canada and Europe. So we will have in that timeframe of Q3 and Q4 some very challenging comps overcome in those regions. So barring some unforeseen demand, which has not into our guidance, we would expect to have some challenges in that Q3 period internationally.",98,No
"Primarily refining. Petchem, I don't think is a problem. Most of those projects are going through. There's still work there to bid. It's just -- it's primarily just in the refining industry. We've seen our Engineering groups have slowed down a little bit on some feeds they were doing in the refining business. I think people, they're primarily just pushing some projects out to wait and see what happens with oil prices and how long it takes for oil -- the price of oil to reach a respectable or reasonable level.",91,Yes
"I think that's a good question. I mean it's going to be interesting to see how -- what companies come out of this healthy and strong. And we're -- and I'm sure there are a number of companies you're going to see probably either go away or be acquired or merged coming out of the smaller companies, for sure. So I think it's -- I think we're going to be in good shape, but I think we have some competitors that are well positioned also. It's going to be interesting to see how everybody else does.",96,No
"And it is so far. It just depends on -- what we're hearing from those clients is not that they're making cuts to their capital spending programs, but that they might if the country doesn't open back up or their respective states don't open up because their biggest consumers of gas are restaurants, bars, hotel services, hotels that have restaurants and bars and that type of industry. So if those demands stay down, they may not have the need. You're not seeing a lot of -- you're seeing drops in new housing and some of those -- so those customers, those new customers that they would have, there won't be that need there. So there'll be reductions there. As far as replacement or maintenance of existing systems or old systems, that work is going to continue.",136,Yes
"Yes. I don't know -- Sean, I don't know if there's any one big swing. I think it's a little bit of everything right now, right? When you got this much going on and potentially this much volatility, it just got to be a point where we looked at all the different models and potential outcomes for the year and the range instead of narrowing for guidance was widening. And so when that occurs, we just decided to pull back on guidance temporarily in order to let another quarter play out. And we're hopeful that by the time we get to announcing Q2 here in late July and early August, we'll be in a position to give you guys guidance again because some of this will settle down, and we'll just have greater clarity.",134,No
